,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
451,Xeon E5405,SLAP2 (C0) SLBBP (E0),4,2 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ041N AT80574KJ041N,$209,,,,,,,,1333 MT/s,6×,0.85–1.35 V,,,,,,,
452,Xeon E5410,SLANW (C0) SLBBC (E0),4,2.33 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ053N AT80574KJ053N,$256,,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,
453,Xeon E5420,SLANV (C0) SLBBL (E0),4,2.5 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ060N AT80574KJ060N,$316,,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,
454,Xeon E5430,SLANU (C0) SLBBK (E0),4,2.67 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ067N AT80574KJ067N,$455,,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,
455,Xeon E5440,SLANS (C0) SLBBJ (E0),4,2.83 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ073N AT80574KJ073N,$690,,,,,,,,1333 MT/s,8.5×,0.85–1.35 V,,,,,,,
456,Xeon E5450,SLANQ (C0) SLBBM (E0),4,3 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KJ080N AT80574KJ080N,$915,,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,
457,Xeon X5450,SLASB (C0) SLBBE (E0),4,3 GHz,,2 × 6 MB,,120 W,LGA 771,,,"November 11, 2007",EU80574KJ080NT AT80574KJ080NT,$851,,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,
458,Xeon X5460,SLANP (C0) SLBBA (E0),4,3.17 GHz,,2 × 6 MB,,120 W,LGA 771,,,"November 11, 2007",EU80574KJ087N AT80574KJ087NT,$1172,,,,,,,,1333 MT/s,9.5×,0.85–1.35 V,,,,,,,
459,Xeon E5462,SLANT (C0) SLBBN (E0),4,2.8 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KL072N AT80574KL072,$797,,,,,,,,1600 MT/s,7×,0.85–1.35 V,,,,,,,
460,Xeon X5470,SLBBF (E0),4,3.33 GHz,,2 × 6 MB,,120 W,LGA 771,,,"September 8, 2008",AT80574KJ093N,$1386,,,,,,,,1333 MT/s,10×,0.85–1.35 V,,,,,,,
461,Xeon E5472,SLANR (C0) SLBBH (E0),4,3 GHz,,2 × 6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80574KL080N AT80574KL080,$1022,,,,,,,,1600 MT/s,7.5×,0.85–1.35 V,,,,,,,
462,Xeon X5472,SLASA (C0) SLBBB (E0),4,3 GHz,,2 × 6 MB,,120 W,LGA 771,,,"November 11, 2007",EU80574KL080NT AT80574KL080N,$958,,,,,,,,1600 MT/s,7.5×,0.85–1.35 V,,,,,,,
463,Xeon X5482,SLANZ (C0) SLBBG (E0),4,3.2 GHz,,2 × 6 MB,,150 W,LGA 771,,,"November 11, 2007",EU80574KL088 AT80574KL088N,$1279,,,,,,,,1600 MT/s,8×,0.85–1.35 V,,,,,,,
464,Xeon X5492,SLBBD (E0),4,3.4 GHz,,2 × 6 MB,,150 W,LGA 771,,,"September 8, 2008",AT80574KL096N,$1493,,,,,,,,1600 MT/s,8.5×,0.85–1.35 V,,,,,,,
466,Xeon L5408,SLAP5 (C0) SLBBT (E0),4,2.13 GHz,,2 × 6 MB,,40 W,LGA 771,,,"February 27, 2008",EU80574JH046N AT80574JH046NT,OEM,,,,,,,,1066 MT/s,8×,0.85–1.35 V,,,,,,,
467,Xeon L5410,SLAP4 (C0) SLBBS (E0),4,2.33 GHz,,2 × 6 MB,,50 W,LGA 771,,,"March 25, 2008",EU80574JJ053N AT80574JJ053N,$320,,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,
468,Xeon L5420,SLARP (C0) SLBBR (E0),4,2.5 GHz,,2 × 6 MB,,50 W,LGA 771,,,"March 25, 2008",EU80574JJ060N AT80574JJ060N,$380,,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,
469,Xeon L5430,SLBBQ (E0),4,2.67 GHz,,2 × 6 MB,,50 W,LGA 771,,,"September 8, 2008",AT80574JJ067N,$562,,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,
471,Xeon E7210,SLA6D (G0),2,2.4 GHz,,2 × 4 MB,,80 W,Socket 604,,,"September 6, 2007",LF80564QH0568M,$856,,,,,,,,1066 MT/s,9×,1.2–1.325 V,,,,,,,
472,Xeon E7220,SLA6C (G0),2,2.93 GHz,,2 × 4 MB,,80 W,Socket 604,,,"September 6, 2007",LF80564QH0778M,$1177,,,,,,,,1066 MT/s,11×,1.2–1.325 V,,,,,,,
474,Xeon E7310,SLA6A (G0),4,1.6 GHz,,2 × 2 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0254M,$856,,,,,,,,1066 MT/s,6×,1.2–1.35 V,,,,,,,
475,Xeon E7320,SLA69 (G0),4,2.13 GHz,,2 × 2 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0464M,$1177,,,,,,,,1066 MT/s,8×,1.2–1.35 V,,,,,,,
476,Xeon E7330,SLA77 (G0),4,2.4 GHz,,2 × 3 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0566M,$1391,,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,
477,Xeon E7340,SLA68 (G0),4,2.4 GHz,,2 × 4 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0568M,$1980,,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,
478,Xeon X7350,SLA67 (G0),4,2.93 GHz,,2 × 4 MB,,130 W,Socket 604,,,"September 6, 2007",LF80565KH0778M,$2301,,,,,,,,1066 MT/s,11×,1.2–1.35 V,,,,,,,
480,Xeon L7345,SLA6B (G0),4,1.87 GHz,,2 × 4 MB,,50 W,Socket 604,,,"September 6, 2007",LF80565JH0368M,$2301,,,,,,,,1066 MT/s,7×,1.10–1.25 V,,,,,,,
482,Xeon E7310,SLA6A (G0),4,1.6 GHz,,2 × 2 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0254M,$856,,,,,,,,1066 MT/s,6×,1.2–1.35 V,,,,,,,
483,Xeon E7320,SLA69 (G0),4,2.13 GHz,,2 × 2 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0464M,$1177,,,,,,,,1066 MT/s,8×,1.2–1.35 V,,,,,,,
484,Xeon E7330,SLA77 (G0),4,2.4 GHz,,2 × 3 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0566M,$1391,,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,
485,Xeon E7340,SLA68 (G0),4,2.4 GHz,,2 × 4 MB,,80 W,Socket 604,,,"September 6, 2007",LF80565QH0568M,$1980,,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,
486,Xeon X7350,SLA67 (G0),4,2.93 GHz,,2 × 4 MB,,130 W,Socket 604,,,"September 6, 2007",LF80565KH0778M,$2301,,,,,,,,1066 MT/s,11×,1.2–1.35 V,,,,,,,
488,Xeon L7345,SLA6B (G0),4,1.87 GHz,,2 × 4 MB,,50 W,Socket 604,,,"September 6, 2007",LF80565JH0368M,$2301,,,,,,,,1066 MT/s,7×,1.10–1.25 V,,,,,,,
490,Xeon E7420,SLG9G (A1),,2133 MHz,,2× 3 MB,8 MB,90 W,Socket 604,,,"September 15, 2008",AD80583QH0468M,$1177,,,,,,,,1066 MT/s,,0.9–1.45 V,8×,,,,,,
491,Xeon E7430,SLG9H (A1),,2133 MHz,,2× 3 MB,12 MB,90 W,Socket 604,,,"September 15, 2008",AD80583QH046003,$1391,,,,,,,,1066 MT/s,,0.9–1.45 V,8×,,,,,,
492,Xeon E7440,SLG9J (A1),,2400 MHz,,2× 3 MB,16 MB,90 W,Socket 604,,,"September 15, 2008",AD80583QH056007,$1980,,,,,,,,1066 MT/s,,0.9–1.45 V,9×,,,,,,
494,Xeon L7445,SLG9L (A1),,2133 MHz,,2× 3 MB,12 MB,50 W,Socket 604,,,"September 15, 2008",AD80583JH046003,$1980,,,,,,,,1066 MT/s,,0.9–1.45 V,8×,,,,,,
496,Xeon E7450,SLG9K (A1),,2400 MHz,,3× 3 MB,12 MB,90 W,Socket 604,,,"September 15, 2008",AD80582QH056003,$2301,,,,,,,,1066 MT/s,,0.9–1.45 V,9×,,,,,,
497,Xeon E7458,SLG9N (A1),,2400 MHz,,3× 3 MB,16 MB,90 W,Socket 604,,,"September 15, 2008",AD80582QH056007,OEM,,,,,,,,1066 MT/s,,0.9–1.45 V,9×,,,,,,
498,Xeon X7460,SLG9P (A1),,2667 MHz,,3× 3 MB,16 MB,130 W,Socket 604,,,"September 15, 2008",AD80582KH067007,$2729,,,,,,,,1066 MT/s,,0.9–1.45 V,10×,,,,,,
500,Xeon L7455,SLG9M (A1),,2133 MHz,,3× 3 MB,12 MB,65 W,Socket 604,,,"September 15, 2008",AD80582JH046003,$2729,,,,,,,,1066 MT/s,,0.9–1.45 V,8×,,,,,,
502,Xeon E3-1220L v3,SR1BT (C0),2,1.1 GHz,2/4,2 × 256 KB,4 MB,13 W,LGA 1150,DMI 2.0,,September 2013,CM8064601481914,$193,,,—,—,,,,,,,,,,,,,
504,Xeon E3-1220 v3,SR154 (C0),4,3.1 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467204 BX80646E31220V3,$193 $203,,,—,—,,,,,,,,,,,,,
505,Xeon E3-1225 v3,SR14U (C0) SR1KX (C0),4,3.2 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,June 2013,CM8064601466507 BX80646E31225V3 CM8064601466510,$213 $224,,,HD Graphics P4600,350–1200 MHz,,,,,,,,,,,,,
506,Xeon E3-1226 v3,SR1R0 (C0),4,3.3 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575206 BX80646E31226V3,$213,,,HD Graphics P4600,350–1200 MHz,,,,,,,,,,,,,
507,Xeon E3-1230 v3,SR153 (C0),4,3.3 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467202 BX80646E31230V3,$240 $250,,,—,—,,,,,,,,,,,,,
508,Xeon E3-1231 v3,SR1R5 (C0),4,3.4 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575332 BX80646E31231V3,$240,,,—,—,,,,,,,,,,,,,
509,Xeon E3-1240 v3,SR152 (C0),4,3.4 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467102 BX80646E31240V3,$262 $273,,,—,—,,,,,,,,,,,,,
510,Xeon E3-1241 v3,SR1R4 (C0),4,3.5 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575331 BX80646E31241V3,$262,,,—,—,,,,,,,,,,,,,
511,Xeon E3-1245 v3,SR14T (C0),4,3.4 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,June 2013,CM8064601466509 BX80646E31245V3,$276 $287,,,HD Graphics P4600,350–1200 MHz,,,,,,,,,,,,,
512,Xeon E3-1246 v3,SR1QZ (C0),4,3.5 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575205 BX80646E31246V3,$276,,,HD Graphics P4600,350–1200 MHz,,,,,,,,,,,,,
513,Xeon E3-1270 v3,SR151 (C0),4,3.5 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467101 BX80646E31270V3,$328 $339,,,—,—,,,,,,,,,,,,,
514,Xeon E3-1271 v3,SR1R3 (C0),4,3.6 GHz,2/3/4/4,4 × 256 KB,8 MB,80 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575330 BX80646E31271V3,$328,,,—,—,,,,,,,,,,,,,
515,Xeon E3-1275 v3,SR14S (C0),4,3.5 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,June 2013,CM8064601466508 BX80646E31275V3,$339 $350,,,HD Graphics P4600,350–1250 MHz,,,,,,,,,,,,,
516,Xeon E3-1276 v3,SR1QW (C0),4,3.6 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575216 BX80646E31276V3,$339,,,HD Graphics P4600,350–1250 MHz,,,,,,,,,,,,,
517,Xeon E3-1280 v3,SR150 (C0),4,3.6 GHz,2/3/4/4,4 × 256 KB,8 MB,82 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467001,$612,,,—,—,,,,,,,,,,,,,
518,Xeon E3-1281 v3,SR1R2 (C0) SR21F (C0),4,3.7 GHz,2/3/4/4,4 × 256 KB,8 MB,82 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575329,$612,,,—,—,,,,,,,,,,,,,
519,Xeon E3-1285 v3,SR14W (C0),4,3.6 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,June 2013,CM8064601466703,$662,,,HD Graphics P4700,350–1300 MHz,,,,,,,,,,,,,
520,Xeon E3-1286 v3,SR1QX (C0),4,3.7 GHz,2/3/4/4,4 × 256 KB,8 MB,84 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575203,$662,,,HD Graphics P4700,350–1300 MHz,,,,,,,,,,,,,
522,Xeon E3-1265L v3,SR15A (C0),4,2.5 GHz,6/9/11/12,4 × 256 KB,8 MB,45 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467406,$294,,,HD Graphics (10 EUs),350–1200 MHz,,,,,,,,,,,,,
523,Xeon E3-1268L v3,SR17Y (C0),4,2.3 GHz,6/7/9/10,4 × 256 KB,8 MB,45 W,LGA 1150,DMI 2.0,,June 2013,CM8064601484200,$377,,,HD Graphics P4600,350–1000 MHz,,,,,,,,,,,,,
524,Xeon E3-1275L v3,SR1T7 (C0) SR156 (C0),4,2.7 GHz,6/9/11/12,4 × 256 KB,8 MB,45 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575224,$328,,,HD Graphics (10 EUs),350–1200 MHz,,,,,,,,,,,,,
525,Xeon E3-1284L v3,SR1U0 (C0),4,1.8 GHz,?/?/?/14,4 × 256 KB,6 MB,47 W,BGA-1364,DMI 2.0,,February 2014,CL8064701637600,OEM,,,Iris Pro Graphics 5200,750–1000 MHz,,,,,,,,,,,,,
526,Xeon E3-1285L v3,SR14X (C0) SR15B (C0),4,3.1 GHz,4/5/7/8,4 × 256 KB,8 MB,65 W,LGA 1150,DMI 2.0,,June 2013,CM8064601466804,$774,,,HD Graphics P4700,350–1250 MHz,,,,,,,,,,,,,
527,Xeon E3-1286L v3,SR1QY (C0),4,3.2 GHz,4/5/7/8,4 × 256 KB,8 MB,65 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575204,$774,,,HD Graphics P4700,350–1250 MHz,,,,,,,,,,,,,
529,Xeon E3-1230L v3,SR158 (C0),4,1.8 GHz,6/7/9/10,4 × 256 KB,8 MB,25 W,LGA 1150,DMI 2.0,,June 2013,CM8064601467601,$250,,,—,—,,,,,,,,,,,,,
530,Xeon E3-1240L v3,SR1T8 (C0),4,2 GHz,6/7/9/10,4 × 256 KB,8 MB,25 W,LGA 1150,DMI 2.0,,May 2014,CM8064601575341,$278,,,—,—,,,,,,,,,,,,,
531,Xeon E5-1428L v3,SR234 (M1),8,2 GHz,2/2/2/2/2/3/5/5,8 × 256 KB,20 MB,65 W,LGA 1356-3,DMI 2.0,3× DDR3-1600,"Jan 12, 2015",CM8064301548034,$608,,,,,,,,,,,,,,,,,
532,Xeon E5-2408L v3,SR236 (R2),4,1.8 GHz,—,4 × 256 KB,10 MB,45 W,LGA 1356-3,6.4 GT/s QPI,3× DDR3-1333,"Jan 12, 2015",CM8064301559301,$256,,,,,,,,,,,,,,,,,
533,Xeon E5-2418L v3,SR232 (R2),6,2 GHz,—,6 × 256 KB,15 MB,50 W,LGA 1356-3,6.4 GT/s QPI,3× DDR3-1333,"Jan 12, 2015",CM8064301442740,$472,,,,,,,,,,,,,,,,,
534,Xeon E5-2428L v3,SR235 (R2),8,1.8 GHz,2/2/2/2/2/3/5/5,8 × 256 KB,20 MB,55 W,LGA 1356-3,8.0 GT/s QPI,3× DDR3-1600,"Jan 12, 2015",CM8064301559000,$811,,,,,,,,,,,,,,,,,
535,Xeon E5-2438L v3,SR233 (M1),10,1.8 GHz,2/2/2/2/2/2/2/3/5/5,10 × 256 KB,25 MB,70 W,LGA 1356-3,8.0 GT/s QPI,3× DDR3-1600,"Jan 12, 2015",CM8064301547350,$1555,,,,,,,,,,,,,,,,,
537,Xeon E5-1603 v3,SR20K (R2),4,2.8 GHz,—,4 × 256 KB,10 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-1866,"Sep 8, 2014",CM8064401548605,$202,,,,,,,,,,,,,,,,,
538,Xeon E5-1607 v3,SR20M (R2),4,3.1 GHz,—,4 × 256 KB,10 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-1866,"Sep 8, 2014",CM8064401736303,$225,,,,,,,,,,,,,,,,,
539,Xeon E5-1620 v3,SR20P (R2),4,3.5 GHz,1/1/1/1,4 × 256 KB,10 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401973600 BX80644E51620V3,$294,,,,,,,,,,,,,,,,,
540,Xeon E5-1630 v3,SR20L (R2),4,3.7 GHz,1/1/1/1,4 × 256 KB,10 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401614501,$372,,,,,,,,,,,,,,,,,
542,Xeon E5-1650 v3,SR20J (R2),6,3.5 GHz,1/1/1/1/3/3,6 × 256 KB,15 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401548111 BX80644E51650V3,$583,,,,,,,,,,,,,,,,,
544,Xeon E5-1660 v3,SR20N (R2),8,3 GHz,3/3/3/3/3/3/5/5,8 × 256 KB,20 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401909200,$1080,,,,,,,,,,,,,,,,,
545,Xeon E5-1680 v3,SR20H (R2),8,3.2 GHz,3/3/3/3/3/4/6/6,8 × 256 KB,20 MB,140 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401547809,$1723,,,,,,,,,,,,,,,,,
547,Xeon E5-1681 v3,SR1Y2 (M1),10,2.9 GHz,3/3/3/3/3/3/3/4/6/6,10 × 256 KB,25 MB,135 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401576003,OEM,,,,,,,,,,,,,,,,,
549,Xeon E5-1686 v3,SR1YB (M1),12,2.6 GHz,2/2/2/2/2/2/2/3/4/5/6/6,12 × 256 KB,30 MB,135 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401725600,OEM,,,,,,,,,,,,,,,,,
551,Xeon E5-1691 v3,SR1XJ (C1),14,2.5 GHz,5/5/5/5/5/5/5/5/5/5/6/7/9/9,14 × 256 KB,35 MB,135 W,LGA 2011-3,DMI 2.0,4× DDR4-2133,"Sep 8, 2014",CM8064401575939,OEM,,,,,,,,,,,,,,,,,
553,Xeon E5-2623 v3,SR208 (R2),4,3 GHz,3/3/5/5,4 × 256 KB,10 MB,105 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401832000,$444,,,,,,,,,,,,,,,,,
554,Xeon E5-2637 v3,SR202 (R2),4,3.5 GHz,1/1/2/2,4 × 256 KB,15 MB,135 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401724101,$996,,,,,,,,,,,,,,,,,
556,Xeon E5-2603 v3,SR20A (R2),6,1.6 GHz,—,6 × 256 KB,15 MB,85 W,LGA 2011-3,2× 6.4 GT/s QPI,4× DDR4-1600,"Sep 8, 2014",CM8064401844200 BX80644E52603V3,$213,,,,,,,,,,,,,,,,,
557,Xeon E5-2608L v3,SR21P (R2) SR20B (R2),6,2 GHz,—,6 × 256 KB,15 MB,50 W,LGA 2011-3,2× 6.4 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064402033500 CM8064401909500,$441,,,,,,,,,,,,,,,,,
558,Xeon E5-2609 v3,SR1YC (M1),6,1.9 GHz,—,6 × 256 KB,15 MB,85 W,LGA 2011-3,2× 6.4 GT/s QPI,4× DDR4-1600,"Sep 8, 2014",CM8064401850800 BX80644E52609V3,$306,,,,,,,,,,,,,,,,,
559,Xeon E5-2620 v3,SR207 (R2),6,2.4 GHz,2/3/4/5/8/8,6 × 256 KB,15 MB,85 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401831400 BX80644E52620V3,$417,,,,,,,,,,,,,,,,,
560,Xeon E5-2643 v3,SR1XQ (M1) SR204 (R2),6,3.4 GHz,2/2/2/2/3/3,6 × 256 KB,20 MB,135 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401440408 CM8064401724501,$1552,,,,,,,,,,,,,,,,,
562,Xeon E5-2618L v3,SR200 (R2),8,2.3 GHz,2/3/4/5/6/7/11/11,8 × 256 KB,20 MB,75 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401610301,$779,,,,,,,,,,,,,,,,,
563,Xeon E5-2622 v3,SR1ZZ (R2),8,2.4 GHz,2/3/4/5/6/7/10/10,8 × 256 KB,20 MB,85 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401576904,OEM,,,,,,,,,,,,,,,,,
564,Xeon E5-2628 v3,SR201 (R2),8,2.5 GHz,3/3/3/3/3/3/5/5,8 × 256 KB,20 MB,85 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401613200,OEM,,,,,,,,,,,,,,,,,
565,Xeon E5-2629 v3,SR1XY (M1),8,2.4 GHz,2/2/2/2/2/2/8/8,8 × 256 KB,20 MB,85 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR3-1866 4× DDR4-1866,"Sep 8, 2014",CM8064401547010,OEM,,,,,,,,,,,,,,,,,
566,Xeon E5-2630 v3,SR206 (R2),8,2.4 GHz,2/2/2/2/2/2/8/8,8 × 256 KB,20 MB,85 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401831000 BX80644E52630V3,$667,,,,,,,,,,,,,,,,,
567,Xeon E5-2630L v3,SR209 (R2),8,1.8 GHz,3/4/5/6/7/8/11/11,8 × 256 KB,20 MB,55 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401832100,$612,,,,,,,,,,,,,,,,,
568,Xeon E5-2640 v3,SR205 (R2),8,2.6 GHz,2/2/3/4/5/6/8/8,8 × 256 KB,20 MB,90 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401830901 BX80644E52640V3,$939,,,,,,,,,,,,,,,,,
569,Xeon E5-2667 v3,SR203 (R2),8,3.2 GHz,2/2/2/2/2/2/4/4,8 × 256 KB,20 MB,135 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401724301,$2057,,,,,,,,,,,,,,,,,
571,Xeon E5-2628L v3,SR1XZ (M1),10,2 GHz,2/2/2/2/2/2/2/3/5/5,10 × 256 KB,25 MB,75 W,LGA 2011-3,2× 8.0 GT/s QPI,4× DDR4-1866,"Sep 8, 2014",CM8064401547200,$1364,,,,,,,,,,,,,,,,,
572,Xeon E5-2649 v3,SR1XX (M1),10,2.3 GHz,3/3/3/3/3/3/4/5/7/7,10 × 256 KB,25 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR3-1866 4× DDR4-2133,"Sep 8, 2014",CM8064401546913,OEM,,,,,,,,,,,,,,,,,
573,Xeon E5-2650 v3,SR1YA (M1),10,2.3 GHz,3/3/3/3/3/3/4/5/7/7,10 × 256 KB,25 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401723701 BX80644E52650V3,$1166,,,,,,,,,,,,,,,,,
574,Xeon E5-2652 v3,SR1XT (M1),10,2.3 GHz,3/3/3/3/3/3/3/3/5/5,10 × 256 KB,25 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401545112,OEM,,,,,,,,,,,,,,,,,
575,Xeon E5-2660 v3,SR1XR (M1),10,2.6 GHz,3/3/3/3/3/3/4/5/7/7,10 × 256 KB,25 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401446117 BX80644E52660V3,$1445,,,,,,,,,,,,,,,,,
576,Xeon E5-2663 v3,SR1Y4 (M1),10,2.8 GHz,3/3/3/3/3/3/4/5/7/7,10 × 256 KB,25 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401612900,OEM,,,,,,,,,,,,,,,,,
577,Xeon E5-2666 v3[1],SR1Y7 (M1),10,2.9 GHz,3/3/3/3/3/3/3/4/6/6,10 × 256 KB,25 MB,135 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR3-1866 4× DDR4-2133,"Nov 13, 2014",CM8064401675902,OEM for Amazon,,,,,,,,,,,,,,,,,
578,Xeon E5-2687W v3,SR1Y6 (M1),10,3.1 GHz,1/1/1/1/1/1/1/2/4/4,10 × 256 KB,25 MB,160 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401613502 BX80644E52687V3,$2141,,,,,,,,,,,,,,,,,
580,Xeon E5-2648L v3,SR1XW (M1),12,1.8 GHz,3/3/3/3/3/3/3/3/4/5/7/7,12 × 256 KB,30 MB,75 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401546007,$1544,,,,,,,,,,,,,,,,,
581,Xeon E5-2650L v3,SR1Y1 (M1),12,1.8 GHz,3/3/3/3/3/3/3/3/4/5/7/7,12 × 256 KB,30 MB,65 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401575702,$1329,,,,,,,,,,,,,,,,,
582,Xeon E5-2658 v3,SR1XV (M1),12,2.2 GHz,3/3/3/3/3/3/3/3/4/5/7/7,12 × 256 KB,30 MB,105 W,LGA 2011-3,2× 9.6 GT/s QPI,4× DDR4-2133,"Sep 8, 2014",CM8064401545904,$1832,,,,,,,,,,,,,,,,,
